num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
599	829.502736	76.379234	25.376601	2.871942	65.042436
601	831.571715	74.728025	27.178237	2.871836	69.152839
603	833.640005	73.874549	26.679034	2.882408	67.394738
605	835.708422	74.441370	25.372860	2.905000	67.304581
607	837.776571	74.819860	26.473968	2.871013	65.586883
609	839.846233	74.171507	26.882077	2.898252	62.675995
611	841.917416	72.760189	27.868498	2.896313	64.818103
613	843.988330	71.336155	26.579732	2.901242	63.146881
615	846.055215	73.894293	25.829828	2.904330	66.944155
617	848.120102	75.835834	26.196008	2.888956	64.528091
619	850.188086	74.560682	26.290051	2.886590	64.137134
621	852.260766	73.934102	26.458212	2.888030	61.558791
623	854.330670	72.992005	25.537827	2.954211	60.762309
625	856.396037	74.149462	26.468232	2.928447	63.446526
627	858.462164	73.075897	27.334101	2.927864	63.656048
629	860.531562	73.405660	27.374390	2.925480	61.133527
631	862.602701	71.977419	28.404291	2.946621	60.973336
633	864.673141	72.687189	27.642689	2.948811	59.905244
635	866.741292	72.208350	27.638621	2.984309	60.246279
637	868.808866	71.829171	26.886535	2.947412	61.853455
639	870.876649	70.692383	28.114583	2.920718	61.770347
641	872.944228	71.721620	26.297987	2.975047	61.663877
643	875.012919	71.973145	25.797680	2.988839	61.533925
645	877.081674	70.724259	26.803384	2.975639	58.131802
647	879.150661	72.299094	27.384610	2.964245	57.777878
649	881.219379	70.261546	27.785541	3.005337	60.548072
651	883.287207	71.982565	26.916734	2.984899	58.027740
653	885.353354	73.331308	26.294817	2.990170	58.478819
655	887.419389	70.360133	26.290187	3.001326	57.346729
657	889.487041	70.964101	26.907797	3.012181	59.243088
659	891.557321	68.951705	26.445214	3.016882	59.714091
661	893.628598	70.802027	26.855603	3.001215	58.582971
663	895.697522	70.171263	27.205475	3.009588	58.523350
665	897.763398	70.741356	27.112521	3.035529	57.672111
667	899.829167	71.899390	26.685364	3.025075	56.373157
669	901.896649	69.994907	26.810416	3.057043	57.345189
671	903.965829	68.626359	26.865612	3.032278	56.989843
673	906.035439	69.249839	27.211305	3.058620	56.903249
675	908.104980	68.951071	26.881793	3.046660	56.626298
677	910.174048	68.832718	27.351043	3.080689	58.261796
679	912.242148	68.371920	27.094941	3.078892	56.940018
681	914.310061	69.211337	26.802750	3.081138	56.435646
683	916.377376	67.766432	26.485386	3.058189	57.062410
685	918.444021	67.443774	27.570646	3.048366	56.339912
687	920.510538	68.779250	27.642667	3.077859	56.441217
689	922.577982	69.119754	26.502563	3.083610	55.862466
691	924.646626	69.000048	26.420155	3.118260	55.016246
693	926.717627	69.548157	26.903099	3.108924	54.297420
695	928.788060	67.125669	27.780544	3.105841	54.487861
697	930.856441	67.958876	27.197311	3.070873	55.749358
699	932.922407	67.308969	27.280942	3.133456	54.019861
701	934.987935	66.634657	27.043972	3.127438	55.660524
703	937.054390	66.909801	26.426588	3.116599	55.601757
705	939.122134	66.876993	28.530737	3.118936	54.866128
707	941.190979	66.054603	28.174934	3.097589	52.759069
709	943.260063	67.327432	27.494127	3.139973	53.927061
711	945.328987	66.046778	27.882141	3.142254	54.638700
713	947.397242	67.285777	27.474467	3.157446	54.080962
715	949.465139	63.192476	27.180890	3.115992	53.560396
717	951.532343	65.118929	27.135169	3.160139	51.387607
719	953.599029	66.901340	26.647315	3.186406	52.187285
721	955.665965	66.860531	27.312615	3.166031	53.355666
723	957.733418	67.005123	26.512422	3.163857	52.862853
725	959.801959	65.487681	27.440916	3.184980	52.488991
727	961.871293	64.039996	28.151565	3.193655	55.088061
731	966.010343	64.876864	27.193377	3.215682	53.617384
